iter	Logloss
0	0.6856290974
1	0.6787495586
2	0.6716694186
3	0.6637789634
4	0.6568651086
5	0.6505122011
6	0.6439631044
7	0.6380552303
8	0.632218129
9	0.6265918177
10	0.6211545536
11	0.6150631022
12	0.6078672487
13	0.602577815
14	0.5955270439
15	0.5891215063
16	0.5838121928
17	0.5781996135
18	0.5728891849
19	0.5679491242
20	0.5618636068
21	0.555747166
22	0.5506710721
23	0.5457480404
24	0.5404409272
25	0.5354390656
26	0.5313817556
27	0.5271559678
28	0.5218095854
29	0.5171897472
30	0.512444617
31	0.5090949426
32	0.5046755476
33	0.5002728396
34	0.4955378484
35	0.4913161043
36	0.4872271383
37	0.4845679954
38	0.4809923933
39	0.4774424312
40	0.4738180626
41	0.4704358152
42	0.4675638304
43	0.4644407126
44	0.4610100154
45	0.4578482046
46	0.454807488
47	0.4518114157
48	0.4496891371
49	0.4469616817
50	0.4445078653
51	0.4413876955
52	0.4393835727
53	0.436802979
54	0.4343636927
55	0.4323254872
56	0.4305804517
57	0.4279478484
58	0.4253858849
59	0.4228152063
60	0.4206932189
61	0.4188281035
62	0.4166305548
63	0.415069391
64	0.4131909858
65	0.4111804211
66	0.4091677966
67	0.4074094066
68	0.4057196988
69	0.4042014694
70	0.4023756725
71	0.400322859
72	0.3987970616
73	0.3963404676
74	0.394705502
75	0.3927460915
76	0.3912744167
77	0.3894742725
78	0.3879021511
79	0.3866216099
80	0.384507509
81	0.3828128777
82	0.3809947005
83	0.379338587
84	0.3778158683
85	0.3759791233
86	0.3740003206
87	0.3726396425
88	0.3716615485
89	0.370103789
90	0.3689409065
91	0.3673783332
92	0.365910101
93	0.3649381487
94	0.3633391066
95	0.3623003021
96	0.360992142
97	0.359785169
98	0.3590444436
99	0.3577301968
100	0.3565839691
101	0.3550600855
102	0.3540833887
103	0.3525245965
104	0.3515331751
105	0.3504377633
106	0.3490623315
107	0.3476965216
108	0.3463465013
109	0.3452395732
110	0.3441843396
111	0.3433826397
112	0.3423137678
113	0.3410901639
114	0.3400670959
115	0.3388324626
116	0.3380912203
117	0.3368368718
118	0.3361249091
119	0.3350504732
120	0.3339371635
121	0.3330876802
122	0.3322180489
123	0.3313068793
124	0.3306560836
125	0.3296156055
126	0.3287579214
127	0.3274121908
128	0.3267432354
129	0.326103589
130	0.3251888179
131	0.3243180737
132	0.32334761
133	0.3226642803
134	0.3218144886
135	0.3210025196
136	0.32035968
137	0.3194471797
138	0.3185579344
139	0.3175313325
140	0.3168442376
141	0.3161318392
142	0.315359294
143	0.3144694417
144	0.3136304054
145	0.3125441675
146	0.3114420567
147	0.3107978187
148	0.3099349736
149	0.3092853721
150	0.3084202828
151	0.307573236
152	0.3066724688
153	0.3059181243
154	0.3051543982
155	0.3044147276
156	0.3035396851
157	0.3028373709
158	0.3019021
159	0.3013455962
160	0.300893913
161	0.3002948981
162	0.2996996884
163	0.2992573453
164	0.2984815091
165	0.2978015805
166	0.2972691358
167	0.2966364048
168	0.2959910801
169	0.2953416361
170	0.294903868
171	0.2943625811
172	0.293588996
173	0.29280774
174	0.2922993345
175	0.291534038
176	0.2909625347
177	0.2902463357
178	0.2895223848
179	0.2888648893
180	0.2880829234
181	0.2876372445
182	0.2870880522
183	0.2865299155
184	0.2858582799
185	0.2851672276
186	0.2848251074
187	0.2843710265
188	0.2836391155
189	0.2828503108
190	0.2824066482
191	0.2817026246
192	0.281118126
193	0.2804860322
194	0.2798007748
195	0.2790518
196	0.2784685461
197	0.2781096679
198	0.2775037728
199	0.2770162553
